ArticleID;FeatureVector
109716;0.361872   3.5e-05   0.021863   0.392331   0.223899
109717;0.339246   1.5e-05   0.081924   0.293923   0.284892
109718;0.322261   1e-06   0.085715   0.427123   0.1649
109719;0.307183   1.9e-05   0.009674   0.505587   0.177537
109720;0.140852   0.003309   0.689836   0.032845   0.133159
109721;0.186698   2e-06   0.395538   0.145847   0.271915
109722;0.306008   0.00045   0.077048   0.230439   0.386055
109723;0.333116   0.000374   0.012356   0.374912   0.279242
109724;0.27431   3.6e-05   0.039046   0.417867   0.268741
109725;0.443028   5.9e-05   0.020423   0.171394   0.365097
109726;0.332495   2.9e-05   0.048988   0.353874   0.264614
109727;0.27431   3.6e-05   0.039046   0.417867   0.268741
109728;0.362262   4e-06   0.174201   0.267464   0.196069
109729;0.252976   3.3e-05   0.215572   0.202255   0.329164
109730;0.248121   5e-05   0.399913   0.133608   0.218308
109731;0.321898   1.1e-05   0.055117   0.353215   0.269759
109732;0.337438   1.8e-05   0.049615   0.35408   0.258849
109734;3.1e-05   0.999526   2.4e-05   1.1e-05   0.000407
109735;0.306008   0.00045   0.077048   0.230439   0.386055
109736;0.287579   2.5e-05   0.158941   0.195375   0.35808
109737;0.3747   4.2e-05   0.057424   0.353131   0.214703
109740;0.303204   6.5e-05   0.043685   0.361922   0.291124
109741;0.334151   5e-06   0.01433   0.483631   0.167883
109742;0.428321   6e-06   0.052761   0.35066   0.168252
109743;0.278449   2e-06   0.0121   0.557516   0.151933
109744;0.360635   7.1e-05   0.065585   0.267309   0.3064
109745;0.323432   9.4e-05   0.005767   0.468827   0.201881
109746;0.081244   5e-06   0.658906   0.054825   0.205019
109747;0.239512   0.0   0.00365   0.612741   0.144097
109748;0.344886   1e-06   0.139647   0.302182   0.213284
109749;0.037081   6e-06   0.820149   0.016605   0.12616
109752;0.211751   0.007766   0.188026   0.135801   0.456656
109753;0.273857   1e-06   0.076022   0.379715   0.270405
109754;0.362262   4e-06   0.174201   0.267464   0.196069
109755;0.253916   4e-06   0.254481   0.228674   0.262924
109756;0.282662   9e-06   0.034199   0.417605   0.265526
109757;0.292348   0.0218   0.01012   0.163486   0.512247
109758;0.290904   1e-06   0.012197   0.545935   0.150962
109759;0.306008   0.00045   0.077048   0.230439   0.386055
109760;0.090133   9e-06   0.737683   0.042136   0.130038
109761;0.297322   2.5e-05   0.034951   0.413566   0.254137
109762;0.360635   7.1e-05   0.065585   0.267309   0.3064
109763;0.306008   0.00045   0.077048   0.230439   0.386055
109764;0.306008   0.00045   0.077048   0.230439   0.386055
109765;0.35367   1.6e-05   0.030827   0.409465   0.206021
109766;0.002014   0.981444   0.000725   0.001066   0.014752
109767;0.306008   0.00045   0.077048   0.230439   0.386055
109769;0.306008   0.00045   0.077048   0.230439   0.386055
109770;0.351805   0.000744   0.055149   0.258508   0.333795
109771;0.345488   0.000136   0.02926   0.340246   0.284869
109772;0.212284   0.033988   0.004213   0.349551   0.399964
109773;0.321047   5.1e-05   0.019167   0.425223   0.234513
109774;0.306008   0.00045   0.077048   0.230439   0.386055
109775;0.361071   4e-06   0.027087   0.417178   0.19466
109776;0.305863   2.9e-05   0.031022   0.420538   0.242548
109777;0.369989   9e-06   0.077325   0.200438   0.35224
109778;0.361071   4e-06   0.027087   0.417178   0.19466
109779;0.301198   3e-05   0.019206   0.440773   0.238793
109780;0.214605   3.7e-05   0.410493   0.097704   0.277162
109781;0.306008   0.00045   0.077048   0.230439   0.386055
109782;0.003265   0.0   0.990059   0.000604   0.006072
109783;0.306008   0.00045   0.077048   0.230439   0.386055
109784;0.36252   4e-06   0.062754   0.315328   0.259394
109785;0.306008   0.00045   0.077048   0.230439   0.386055
109417;0.3747   4.2e-05   0.057424   0.353131   0.214703
109453;0.421669   1.1e-05   0.010902   0.309585   0.257833
109473;0.295442   1.4e-05   0.135191   0.292304   0.27705
109476;0.421669   1.1e-05   0.010902   0.309585   0.257833
109484;0.438513   3e-06   0.030714   0.384494   0.146277
109492;0.33183   2.2e-05   0.019904   0.44039   0.207855
109494;0.306008   0.00045   0.077048   0.230439   0.386055
109495;0.313277   0.000125   0.018413   0.410555   0.25763
109498;0.306008   0.00045   0.077048   0.230439   0.386055
109501;0.249086   0.001009   0.514682   0.067732   0.167491
109502;0.277121   0.000131   0.038153   0.335835   0.34876
109503;0.306008   0.00045   0.077048   0.230439   0.386055
109505;0.375829   2.5e-05   0.033041   0.349637   0.241468
109506;0.264355   1.2e-05   0.037393   0.420649   0.277591
109508;0.264355   1.2e-05   0.037393   0.420649   0.277591
109509;0.306008   0.00045   0.077048   0.230439   0.386055
109510;0.287909   2.5e-05   0.008983   0.511333   0.191751
109511;0.381149   0.000129   0.060038   0.269129   0.289554
109512;0.297322   2.5e-05   0.034951   0.413566   0.254137
109513;0.211406   3.6e-05   0.002773   0.569886   0.2159
109514;0.29775   1.3e-05   0.011603   0.512182   0.178452
109515;0.281649   0.000173   0.195994   0.151003   0.371182
109517;0.283292   1e-06   0.022054   0.502895   0.191758
109518;0.344886   1e-06   0.139647   0.302182   0.213284
109519;0.396846   8e-06   0.037282   0.346322   0.219541
109520;0.016328   0.953419   0.000538   0.008263   0.021452
109521;0.359392   5e-06   0.019718   0.427578   0.193307
109522;0.214605   3.7e-05   0.410493   0.097704   0.277162
109523;0.316894   2.3e-05   0.21089   0.198013   0.27418
109524;0.274868   3.2e-05   0.046639   0.362209   0.316252
109525;0.306008   0.00045   0.077048   0.230439   0.386055
109526;0.432433   2e-06   0.069055   0.351774   0.146736
109527;0.375829   2.5e-05   0.033041   0.349637   0.241468
109528;1.0
109529;0.27431   3.6e-05   0.039046   0.417867   0.268741
109530;0.306008   0.00045   0.077048   0.230439   0.386055
109531;0.375829   2.5e-05   0.033041   0.349637   0.241468
109532;0.346043   3e-06   0.141508   0.260906   0.251541
109533;0.306008   0.00045   0.077048   0.230439   0.386055
109534;0.335824   2.4e-05   0.091964   0.270753   0.301435
109535;0.023018   0.0   0.940113   0.00754   0.029328
109536;0.348058   3.1e-05   0.016792   0.411669   0.22345
109538;0.423495   5e-06   0.07167   0.330424   0.174407
109539;0.385405   3e-05   0.030069   0.352281   0.232214
109540;0.314168   6e-06   0.017974   0.487412   0.180439
109541;0.333922   4.1e-05   0.187718   0.234241   0.244077
109542;0.366902   2.5e-05   0.030549   0.352425   0.250099
109543;0.375829   2.5e-05   0.033041   0.349637   0.241468
109544;0.24587   0.0   0.019737   0.570151   0.164242
109545;0.306008   0.00045   0.077048   0.230439   0.386055
109546;0.342538   0.0   0.012405   0.512703   0.132354
109547;0.264355   1.2e-05   0.037393   0.420649   0.277591
109548;0.277121   0.000131   0.038153   0.335835   0.34876
109550;0.264355   1.2e-05   0.037393   0.420649   0.277591
109551;0.116434   0.0   0.611344   0.077418   0.194803
109552;0.281649   0.000173   0.195994   0.151003   0.371182
109553;0.358414   8.2e-05   0.056052   0.309795   0.275657
109554;0.224588   2.6e-05   0.405219   0.133111   0.237056
109555;0.4207   4.1e-05   0.025065   0.192198   0.361996
109556;0.330115   0.000151   0.016002   0.410134   0.243597
109557;0.003949   0.0   0.988976   0.000667   0.006408
109558;0.306008   0.00045   0.077048   0.230439   0.386055
109559;0.2904   0.016319   0.022804   0.271478   0.398999
109560;0.268156   0.0   0.007015   0.536982   0.187847
109561;0.037081   6e-06   0.820149   0.016605   0.12616
109562;0.330522   0.000206   0.052436   0.309244   0.307591
109563;0.263181   3e-06   0.021798   0.498398   0.216621
109564;0.306008   0.00045   0.077048   0.230439   0.386055
109565;0.334151   5e-06   0.01433   0.483631   0.167883
109566;0.297322   2.5e-05   0.034951   0.413566   0.254137
109567;0.362262   4e-06   0.174201   0.267464   0.196069
